filename,class,subtype,prompt,Unnamed: 4,Unnamed: 5,SPLIT,file_path
SOB_B_A-14-22549AB-400-001,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-001.png
SOB_B_A-14-22549AB-400-002,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-002.png
SOB_B_A-14-22549AB-400-003,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-003.png
SOB_B_A-14-22549AB-400-004,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-004.png
SOB_B_A-14-22549AB-400-005,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-005.png
SOB_B_A-14-22549AB-400-006,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-006.png
SOB_B_A-14-22549AB-400-007,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-007.png
SOB_B_A-14-22549AB-400-008,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-008.png
SOB_B_A-14-22549AB-400-009,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-009.png
SOB_B_A-14-22549AB-400-010,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-010.png
SOB_B_A-14-22549AB-400-011,benign,Adenosis,"A benign breast histopathology image , beginning with class and subclass adenosis",,,TRAIN,C:/Users/nevil/Desktop/BRAK/BRAK/TRAIN/benign/Adenosis/SOB_B_A-14-22549AB-400-011.png
